episode,step,x,y
7.00,39.00,579.44,353.88
7.00,40.00,557.76,366.32
7.00,41.00,582.74,365.41
7.00,42.00,600.42,347.73
7.00,43.00,618.09,330.05
7.00,44.00,641.32,320.79
7.00,45.00,664.14,331.01
7.00,46.00,681.81,348.68
7.00,47.00,699.49,366.36
7.00,48.00,674.61,363.91
7.00,49.00,688.69,384.57
7.00,50.00,713.50,381.50
7.00,51.00,734.19,367.46
7.00,52.00,741.77,343.64
7.00,53.00,757.21,363.30
7.00,54.00,756.51,388.29
7.00,55.00,774.18,370.61
7.00,56.00,759.68,350.25
7.00,57.00,784.15,345.12
7.00,58.00,804.74,359.29
7.00,59.00,806.23,334.33
7.00,60.00,829.13,324.31
7.00,61.00,824.98,348.96
7.00,62.00,849.43,343.77
7.00,63.00,832.81,325.10
7.00,64.00,840.67,348.83
7.00,65.00,865.60,347.02
7.00,66.00,843.86,359.36
7.00,67.00,840.43,334.60
7.00,68.00,859.74,350.48
7.00,69.00,843.79,331.23
7.00,70.00,861.47,313.55
7.00,71.00,883.52,301.78
7.00,72.00,898.23,281.56
7.00,73.00,876.43,269.31
7.00,74.00,891.58,289.19
7.00,75.00,897.69,313.44
7.00,76.00,880.01,295.76
7.00,77.00,900.63,309.89
7.00,78.00,925.52,312.27
7.00,79.00,939.39,291.48
7.00,80.00,964.35,292.87
7.00,81.00,982.03,275.20
7.00,82.00,961.60,289.61
7.00,83.00,945.30,308.56
7.00,84.00,956.51,286.21
7.00,85.00,966.71,263.39
7.00,86.00,984.93,246.27
7.00,87.00,1000.00,233.65
7.00,88.00,1000.00,251.33
7.00,89.00,1000.00,233.65
7.00,90.00,976.27,225.77
7.00,91.00,992.34,244.92
7.00,92.00,968.04,250.79
7.00,93.00,949.18,267.20
7.00,94.00,945.40,291.91
7.00,95.00,961.04,311.42
7.00,96.00,983.73,300.93
7.00,97.00,1000.00,318.43
7.00,98.00,993.01,294.43
7.00,99.00,1000.00,308.46
7.00,100.00,997.09,283.63
8.00,1.00,83.47,191.39
8.00,2.00,107.70,185.22
8.00,3.00,113.42,209.55
8.00,4.00,138.38,208.07
8.00,5.00,139.82,183.12
8.00,6.00,157.50,165.44
8.00,7.00,179.67,176.99
8.00,8.00,204.53,174.43
8.00,9.00,228.93,179.91
8.00,10.00,253.84,177.81
8.00,11.00,278.82,176.95
8.00,12.00,299.74,163.26
8.00,13.00,317.42,180.93
8.00,14.00,334.85,163.02
8.00,15.00,358.88,169.93
8.00,16.00,376.56,187.60
8.00,17.00,394.24,205.28
8.00,18.00,407.14,226.69
8.00,19.00,392.94,247.27
8.00,20.00,408.36,266.94
8.00,21.00,432.27,274.23
8.00,22.00,441.87,251.15
8.00,23.00,466.85,250.00
8.00,24.00,481.27,229.59
8.00,25.00,484.30,204.77
8.00,26.00,504.29,189.76
8.00,27.00,523.44,205.82
8.00,28.00,502.18,192.68
8.00,29.00,480.33,180.52
8.00,30.00,465.36,200.54
8.00,31.00,483.04,182.86
8.00,32.00,500.71,200.54
8.00,33.00,518.39,218.22
8.00,34.00,536.07,235.89
8.00,35.00,548.55,257.56
8.00,36.00,539.14,280.71
8.00,37.00,531.64,304.56
8.00,38.00,549.32,286.89
8.00,39.00,524.32,286.60
8.00,40.00,535.58,264.28
8.00,41.00,560.01,258.97
8.00,42.00,535.92,252.29
8.00,43.00,552.56,270.95
8.00,44.00,575.53,261.09
8.00,45.00,596.47,247.44
8.00,46.00,619.43,257.32
8.00,47.00,638.86,273.06
8.00,48.00,614.04,276.00
8.00,49.00,632.72,292.62
8.00,50.00,649.68,310.99
8.00,51.00,670.98,324.07
8.00,52.00,665.47,299.69
8.00,53.00,690.45,298.58
8.00,54.00,713.71,289.41
8.00,55.00,731.39,271.73
8.00,56.00,729.93,246.77
8.00,57.00,743.43,225.73
8.00,58.00,735.70,249.50
8.00,59.00,760.34,245.29
8.00,60.00,780.08,229.94
8.00,61.00,795.10,249.93
8.00,62.00,807.31,271.74
8.00,63.00,828.21,285.45
8.00,64.00,845.89,267.77
8.00,65.00,853.15,291.70
8.00,66.00,870.83,309.38
8.00,67.00,876.62,285.06
8.00,68.00,883.84,261.12
8.00,69.00,908.03,267.40
8.00,70.00,925.71,249.73
8.00,71.00,943.39,267.40
8.00,72.00,966.09,256.94
8.00,73.00,987.82,244.58
8.00,74.00,1000.00,226.90
8.00,75.00,1000.00,218.91
8.00,76.00,982.32,236.59
8.00,77.00,996.99,256.83
8.00,78.00,1000.00,275.41
8.00,79.00,1000.00,258.80
8.00,80.00,1000.00,259.80
8.00,81.00,1000.00,243.37
8.00,82.00,1000.00,261.05
8.00,83.00,979.81,246.30
8.00,84.00,960.58,262.27
8.00,85.00,948.84,284.34
8.00,86.00,931.77,266.07
8.00,87.00,914.75,247.77
8.00,88.00,891.92,237.57
8.00,89.00,915.73,229.94
8.00,90.00,932.05,248.88
8.00,91.00,949.73,266.56
8.00,92.00,969.57,281.77
8.00,93.00,994.57,281.69
8.00,94.00,1000.00,276.91
8.00,95.00,1000.00,285.84
8.00,96.00,1000.00,288.89
8.00,97.00,1000.00,267.90
8.00,98.00,1000.00,282.73
8.00,99.00,1000.00,302.07
8.00,100.00,1000.00,279.93
9.00,1.00,83.00,190.21
9.00,2.00,71.44,168.05
9.00,3.00,46.65,171.31
9.00,4.00,41.94,146.76
9.00,5.00,55.03,125.46
9.00,6.00,79.03,118.46
9.00,7.00,63.38,98.97
9.00,8.00,88.35,100.18
